Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
190,1.0561,27,-26,-151,-23.6,-7.8,-21.6,130,344,369,365,-91,-121,-50
191,1.71,36,-3,-65,-17.6,-5.2,-12.8,124,390,433,454,-40,-60,-50
192,1.8124,-43,30,48,-22.6,-27.2,-8.2,112,362,418,426,-21,-59,-38
193,1.5044,14,46,94,-10.3,-11,3.7,127,353,393,412,-32,-53,-32
194,2.3537,96,59,139,5.9,8.9,18.9,127,353,374,398,-59,-103,-19
195,3.2853,139,76,108,1.2,-6.2,20.9,134,354,404,415,-42,-70,-37
196,2.8166,131,66,102,-9.4,-16.9,2.2,146,329,364,387,-50,-69,-28
197,0.30435,49,178,-983,25,116.8,138.6,99,90,85,92,-84,-142,-33
198,2.2643,95,244,455,59.1,98.5,134.7,135,160,169,182,69,104,-8
199,3.5576,95,69,376,16.1,22.6,70.1,137,207,218,223,-92,-100,-2
200,3.86,37,11,-16,-19,-19.3,11.4,139,227,240,245,-128,-154,-16
201,7.3524,98,-9,-95,10.3,16.6,4.4,139,368,394,393,-70,-109,-53
202,13.319,159,39,3,27,25.3,17.5,128,373,403,406,-39,-45,-47
203,9.9909,43,34,35,-8.9,-28.1,-7.2,121,296,322,331,-41,-74,-36
204,5.2554,19,29,47,-18.5,-29.6,-15.6,127,295,302,305,-49,-66,-32
205,5.6384,78,38,49,-9.5,-14.9,-6.1,132,263,286,285,-45,-66,-29
206,7.8977,164,74,107,-8,-7.3,-2,125,285,332,348,-44,-63,-36
207,5.1262,158,98,141,-14,-8.6,-14.8,135,351,369,391,-47,-60,-35
208,0.95866,45,-18,-985,29.2,80.7,154,99,90,85,92,-47,-93,-35
209,6.07,354,469,688,41.6,65.9,112.8,135,160,169,182,56,93,-4
210,12.268,127,60,85,-0.5,6.8,64.6,137,207,218,223,-81,-94,-7
211,16.391,44,-34,-54,-29.3,-29.6,14.6,139,227,240,245,-138,-161,-21
212,33.132,81,-23,-112,14.7,13,13.9,139,368,394,393,-58,-91,-50
213,46.357,159,46,1,37.4,27.4,27.3,128,373,403,406,-56,-70,-28
214,30.901,65,9,31,2.6,-18.6,-0.3,121,296,322,331,-60,-86,-19
215,17.034,14,15,48,-14.3,-27.2,-13,127,295,302,305,-64,-78,-25
216,10.455,48,27,57,-11.4,-17.8,-7,132,263,286,285,-41,-58,-28
217,6.704,160,72,103,-7.3,-5.5,-6.7,125,285,332,348,-63,-77,-23
218,5.0788,176,110,152,-8.4,-0.6,-15.3,135,351,369,391,-61,-70,-35
219,1.9068,22,-54,-1057,123.1,215.7,215.7,101,80,97,92,-13,-57,-51
220,12.213,329,447,593,36.9,52.8,84.7,134,160,177,184,52,89,-5
221,27.755,129,84,72,-11.4,-5.8,38.8,144,211,233,219,-90,-102,-20
222,37.118,43,-42,-75,-40.5,-41.4,-0.3,143,246,264,257,-126,-158,-29
223,54.755,39,-21,-110,2.5,-0.7,7.5,132,327,348,365,-31,-71,-48
224,60.806,123,59,-6,24.9,18.1,20.4,126,258,279,273,-29,-46,-32
225,47.247,88,-13,28,3.5,-12.2,-0.6,123,189,186,189,-49,-67,-29
226,27.493,44,8,69,-8.2,-19.6,-5.3,129,190,174,180,-53,-65,-34
227,13.263,45,43,94,-6.3,-12.1,1.6,140,159,172,161,-39,-69,-33
228,5.662,163,89,99,2.8,1,-1.8,120,176,217,226,-64,-86,-39
229,3.9462,201,124,146,5.1,10.3,-6.2,123,331,357,363,-45,-64,-37
230,1.9916,86,-994,-1045,292.6,-116.9,292.6,101,80,97,92,-19,-55,-47
231,11.642,100,470,580,31.1,52.9,40.6,134,160,177,184,35,69,1
232,24.689,106,203,155,-19.2,-9.3,-10.9,144,211,233,219,-102,-117,-11
233,37.79,51,63,-22,-42.8,-40.9,-33.7,143,246,264,257,-129,-162,-25
234,47.272,11,57,25,-21.4,-24.2,-18.2,132,327,348,365,-46,-77,-31
235,53.299,17,93,54,-2.2,-4.6,-1.6,126,258,279,273,-44,-51,-32
236,42.778,94,28,-54,14.6,6.7,11.1,123,189,186,189,-64,-76,-31
237,21.338,132,-6,34,15.6,1.2,13.6,129,190,174,180,-60,-77,-22
238,15.225,128,15,132,11.7,-3.7,11.6,140,159,172,161,-57,-92,-26
239,6.9503,118,118,102,23.3,9.2,11.2,120,176,217,226,-62,-97,-37
240,3.7476,167,138,89,31.3,18.9,13.8,123,331,357,363,-26,-58,-33
241,1.3119,143,371,-990,308.2,-101.3,-101.3,97,74,93,90,15,-18,-45
242,5.1344,118,497,664,27.9,53.1,38.6,138,138,141,159,45,74,-1
243,8.3895,60,203,224,-13.8,-1.2,-11.7,148,199,225,228,-93,-106,-13
244,14.052,27,89,20,-29.4,-24.1,-30.2,142,250,269,269,-132,-156,-26
245,26.722,50,98,91,-21.9,-27.3,-25.2,128,292,318,337,-63,-81,-36
246,36.198,-13,96,101,-8.1,-15.2,-11.3,130,174,191,214,-50,-54,-35
247,20.844,26,54,-81,21.7,11.7,20.9,129,156,153,153,-61,-86,-21
248,10.327,113,33,-39,21.5,7.6,19.8,133,158,142,160,-62,-95,-12
249,10.799,148,18,76,7.8,-5.3,4.6,137,134,134,149,-65,-89,-18
250,5.9778,85,72,103,11.2,0.3,5.5,128,139,170,172,-53,-83,-26
251,0.59319,172,295,-968,244.9,-97,-97,97,74,93,90,26,-4,-47
252,1.6947,124,508,703,22.9,48.8,50,138,138,141,159,38,67,18
253,1.9782,6,154,257,-8.4,4.4,-4.7,148,199,225,228,-100,-109,-10
254,2.9724,-29,59,35,-13.4,-5.7,-19.2,142,250,269,269,-133,-161,-18
255,8.3676,98,104,87,-19.2,-25.4,-27.7,128,292,318,337,-65,-86,-41
256,14.846,29,78,124,-17.9,-27.1,-23.4,130,174,191,214,-47,-61,-19
257,7.8814,-52,49,-46,17,8.3,22,129,156,153,153,-65,-85,-15
258,3.5417,49,67,-58,17.7,9.8,22.5,133,158,142,160,-70,-90,-13
259,3.2115,132,68,17,-2.8,-9.1,-3,137,134,134,149,-71,-76,-23
260,3.5965,86,40,102,-12.1,-11.6,-8.2,128,139,170,172,-66,-81,-26
261,0.81262,-30,-60,-10,-0.7,3.1,-6.6,131,239,243,257,-112,-135,-26
262,2.0841,121,72,49,-3.1,-4.8,-13.7,125,314,337,344,-67,-86,-35
263,4.0837,145,81,115,-35.2,-38.6,-42.7,121,256,278,305,-44,-51,-14
264,2.6291,15,-35,107,-13.1,-15.1,-8.5,131,228,235,250,-49,-56,-30
265,1.1188,16,48,131,4,1.4,12.4,129,237,247,257,-54,-58,-32
266,0.94185,-22,66,-9,-10.9,-15.6,-12.2,125,234,241,254,-108,-123,-4
267,1.2525,27,-26,-151,-23.6,-7.8,-21.6,119,352,379,378,-91,-121,-40
268,1.7636,36,-3,-65,-17.6,-5.2,-12.8,127,365,412,450,-31,-47,-42
269,1.4982,-43,30,48,-22.6,-27.2,-8.2,124,328,380,406,-5,-35,-23
270,1.0536,14,46,94,-10.3,-11,3.7,123,287,338,347,-53,-52,-27
271,1.2317,96,59,139,5.9,8.9,18.9,123,245,271,280,-66,-75,-30
272,2.2195,139,76,108,1.2,-6.2,20.9,133,206,237,231,-55,-69,-30
273,2.5295,131,66,102,-9.4,-16.9,2.2,137,205,247,250,-56,-80,-23
274,0.62916,49,178,-983,25,116.8,138.6,84,90,87,87,-62,-131,-34
275,2.9438,95,244,455,59.1,98.5,134.7,129,151,157,176,135,159,-15
276,4.7862,95,69,376,16.1,22.6,70.1,141,191,203,217,4,-5,5
277,5.0998,37,11,-16,-19,-19.3,11.4,128,266,276,273,-122,-135,-6
278,8.0375,98,-9,-95,10.3,16.6,4.4,121,348,377,380,-61,-94,-45
279,11.83,159,39,3,27,25.3,17.5,129,317,341,353,-26,-31,-45
280,8.8529,43,34,35,-8.9,-28.1,-7.2,131,254,278,288,-42,-64,-30
281,4.8981,19,29,47,-18.5,-29.6,-15.6,138,203,221,221,-59,-77,-30
282,3.7523,78,38,49,-9.5,-14.9,-6.1,144,192,199,204,-49,-72,-34
283,3.9457,164,74,107,-8,-7.3,-2,140,176,187,183,-43,-70,-30
284,3.2203,158,98,141,-14,-8.6,-14.8,127,192,211,224,-36,-72,-27
285,1.7862,45,-18,-985,29.2,80.7,154,84,90,87,87,-38,-98,-36
286,8.3107,354,469,688,41.6,65.9,112.8,129,151,157,176,114,136,-9
287,17.784,127,60,85,-0.5,6.8,64.6,141,191,203,217,-8,-16,2
288,23.159,44,-34,-54,-29.3,-29.6,14.6,128,266,276,273,-141,-152,-19
289,30.236,81,-23,-112,14.7,13,13.9,121,348,377,380,-49,-77,-54
290,34.995,159,46,1,37.4,27.4,27.3,129,317,341,353,-55,-58,-39
291,29.104,65,9,31,2.6,-18.6,-0.3,131,254,278,288,-70,-89,-26
292,20.374,14,15,48,-14.3,-27.2,-13,138,203,221,221,-56,-83,-34
293,9.6541,48,27,57,-11.4,-17.8,-7,144,192,199,204,-46,-71,-33
294,4.352,160,72,103,-7.3,-5.5,-6.7,140,176,187,183,-56,-82,-34
295,3.3405,176,110,152,-8.4,-0.6,-15.3,127,192,211,224,-36,-61,-38
296,3.1673,22,-54,-1057,123.1,215.7,215.7,99,93,97,93,35,-13,-53
297,16.878,329,447,593,36.9,52.8,84.7,130,162,177,192,101,140,-13
298,40.16,129,84,72,-11.4,-5.8,38.8,135,194,209,219,-39,-31,-11
299,48.589,43,-42,-75,-40.5,-41.4,-0.3,133,243,268,269,-120,-135,-26
300,48.477,39,-21,-110,2.5,-0.7,7.5,122,246,279,297,-24,-51,-52
301,52.825,123,59,-6,24.9,18.1,20.4,121,187,196,193,-31,-41,-36
302,49.916,88,-13,28,3.5,-12.2,-0.6,126,156,163,155,-45,-65,-27
303,30.771,44,8,69,-8.2,-19.6,-5.3,131,168,160,150,-47,-68,-32
304,12.217,45,43,94,-6.3,-12.1,1.6,146,186,179,172,-50,-76,-29
305,4.8029,163,89,99,2.8,1,-1.8,131,180,178,180,-55,-79,-43
306,3.2752,86,-994,-1045,292.6,-116.9,292.6,99,93,97,93,31,-19,-39
307,17.925,100,470,580,31.1,52.9,40.6,130,162,177,192,80,115,4
308,33.733,106,203,155,-19.2,-9.3,-10.9,135,194,209,219,-43,-44,2
309,36.18,51,63,-22,-42.8,-40.9,-33.7,133,243,268,269,-110,-128,-16
310,36.914,11,57,25,-21.4,-24.2,-18.2,122,246,279,297,-23,-48,-34
311,58.568,17,93,54,-2.2,-4.6,-1.6,121,187,196,193,-32,-43,-32
312,56.003,94,28,-54,14.6,6.7,11.1,126,156,163,155,-51,-65,-32
313,22.614,132,-6,34,15.6,1.2,13.6,131,168,160,150,-55,-68,-20
314,10.502,128,15,132,11.7,-3.7,11.6,146,186,179,172,-57,-85,-25
