Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
236,42.778,1434,1528,1462,1380,82.4,97,89.1,93.5,123,189,186,189,217,153,141,110
237,21.338,1437,1569,1431,1471,91.6,107.2,92.8,105.2,129,190,174,180,196,136,119,97
238,15.225,1431,1559,1446,1563,94.3,106,90.6,105.9,140,159,172,161,201,144,109,83
239,6.9503,1394,1512,1512,1496,79.7,103,88.9,90.9,120,176,217,226,219,157,122,85
240,3.7476,1349,1516,1487,1438,74.4,105.7,93.3,88.2,123,331,357,363,207,181,149,116
241,1.3119,2511,2654,2882,1521,101.3,409.5,0,0,97,74,93,90,214,229,196,151
242,5.1344,1466,1584,1963,2130,51.1,79,104.2,89.7,138,138,141,159,36,81,110,109
243,8.3895,1300,1360,1503,1524,70.4,56.6,69.2,58.7,148,199,225,228,129,36,23,10
244,14.052,1331,1358,1420,1351,89,59.6,64.9,58.8,142,250,269,269,242,110,86,60
245,26.722,1419,1469,1517,1510,91,69.1,63.7,65.8,128,292,318,337,212,149,131,95
246,36.198,1411,1398,1507,1512,79.3,71.2,64.1,68,130,174,191,214,190,140,136,101
247,20.844,1440,1466,1494,1359,72.7,94.4,84.4,93.6,129,156,153,153,204,143,118,97
248,10.327,1440,1553,1473,1401,82.6,104.1,90.2,102.4,133,158,142,160,194,132,99,87
249,10.799,1429,1577,1447,1505,92.3,100.1,87,96.9,137,134,134,149,185,120,96,78
250,5.9778,1413,1498,1485,1516,85.4,96.6,85.7,90.9,128,139,170,172,193,140,110,84
251,0.59319,2509,2681,2804,1541,97,341.9,0,0,97,74,93,90,187,213,183,136
252,1.6947,1426,1550,1934,2129,47.5,70.4,96.3,97.5,138,138,141,159,33,71,100,118
253,1.9782,1292,1298,1446,1549,60.9,52.5,65.3,56.2,148,199,225,228,135,35,26,16
254,2.9724,1336,1307,1395,1371,73.7,60.3,68,54.5,142,250,269,269,239,106,78,60
255,8.3676,1397,1495,1501,1484,90.7,71.5,65.3,63,128,292,318,337,202,137,116,75
256,14.846,1389,1418,1467,1513,86.5,68.6,59.4,63.1,130,174,191,214,178,131,117,98
257,7.8814,1459,1407,1508,1413,64.8,81.8,73.1,86.8,129,156,153,153,190,125,105,90
258,3.5417,1459,1508,1526,1401,71.4,89.1,81.2,93.9,133,158,142,160,193,123,103,90
259,3.2115,1431,1563,1499,1448,87.2,84.4,78.1,84.2,137,134,134,149,188,117,112,89
260,3.5965,1422,1508,1462,1524,92.2,80.1,80.6,84,128,139,170,172,198,132,117,91
261,0.81262,1357,1327,1297,1347,58.3,57.6,61.4,51.7,131,239,243,257,229,117,94,68
262,2.0841,1390,1511,1462,1439,79.4,76.3,74.6,65.7,125,314,337,344,209,142,123,88
263,4.0837,1359,1504,1440,1474,103.8,68.6,65.2,61.1,121,256,278,305,186,142,135,121
264,2.6291,1459,1474,1424,1566,73.6,60.5,58.5,65.1,131,228,235,250,192,143,136,106
265,1.1188,1463,1479,1511,1594,61.1,65.1,62.5,73.5,129,237,247,257,194,140,136,104
266,0.94185,1420,1398,1486,1411,73.6,62.7,58,61.4,125,234,241,254,200,92,77,73
267,1.2525,1517,1544,1491,1366,82.6,59,74.8,61,119,352,379,378,264,173,143,103
268,1.7636,1550,1586,1547,1485,88,70.4,82.8,75.2,127,365,412,450,249,218,202,160
269,1.4982,1602,1559,1632,1650,101.2,78.6,74,93,124,328,380,406,214,209,179,156
270,1.0536,1577,1591,1623,1671,87.8,77.5,76.8,91.5,123,287,338,347,184,131,132,105
