Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
142,0.010981,1149,1166,1125,1148,36.1,59.8,39,51.1,86,113,104,118,45,13,19,21
143,0.011926,1091,1170,1105,1176,35.7,62.5,39.8,57.7,83,104,102,107,44,25,15,21
144,0.0086813,1048,1072,1137,1126,44.8,35.8,41.9,54.8,80,102,104,102,35,10,21,20
145,0.014183,1037,1086,1125,1090,42.5,39.1,45.2,47.8,87,96,102,98,41,0,8,5
146,0.03052,1031,1109,1100,1078,33.6,50.6,49.4,51.7,77,97,105,102,29,6,12,8
147,0.023065,1102,1006,1070,1079,32.5,51,50.6,70.6,82,106,111,114,12,26,22,16
148,0.0099808,1143,967,1071,1074,42.7,46.1,47.4,58.9,95,110,122,114,29,17,17,23
149,0.0069764,1128,999,1059,1098,48,42.5,49,48.3,105,116,122,123,34,9,16,22
150,0.0098159,1009,1159,1065,1164,39.7,47.7,52.9,40.1,103,114,118,122,41,17,22,23
151,0.014055,977,1160,1094,1143,37.6,53.2,53.7,40.9,97,111,119,120,39,24,13,19
152,0.01764,1002,1109,1111,1147,45.1,46.3,58,41.2,97,109,115,120,32,26,17,21
153,0.0070066,1021,1139,1108,1219,42.8,56.1,55,37.7,106,110,112,115,37,24,20,20
154,0.0046462,1066,1207,1147,1292,33.9,76.4,47.4,35.5,98,120,115,113,37,21,22,32
155,0.017788,1203,990,1055,1097,50.4,26.5,47.5,57.6,84,116,116,120,41,19,22,23
156,0.016284,1153,1111,1111,1091,39.7,59.1,38.3,60.3,86,113,104,118,38,23,23,22
157,0.014948,1117,1148,1093,1136,29.2,64.3,40.9,63,83,104,102,107,45,19,25,22
158,0.011778,1069,1081,1091,1151,41,43.9,43.9,61.6,80,102,104,102,29,19,20,20
159,0.021871,1036,1092,1107,1116,45.3,43.9,39.7,48.4,87,96,102,98,29,21,14,24
160,0.027951,1008,1120,1110,1093,40.2,50,40.8,45.9,77,97,105,102,16,17,23,16
161,0.01355,1062,1022,1105,1069,28.5,51,51.6,64.8,82,106,111,114,18,23,17,16
162,0.0080756,1100,950,1094,1066,37.9,52.1,50.2,57.6,95,110,122,114,31,17,11,21
