Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
230,18.871,2105,1455,1469,1490,194,102.8,78.4,101.1,161,316,291,288,109,84,72,47
231,0.79318,963,1199,1198,1163,54.4,57.1,39.1,56.8,170,268,262,267,94,92,67,46
232,1.2544,999,1243,1253,1242,56.7,50.6,41.9,69.1,161,264,266,253,110,73,63,51
233,2.0754,1078,1307,1332,1332,62.5,61.4,56.8,81.5,160,252,267,258,114,81,68,53
234,4.9215,1431,1401,1454,1451,98.2,89.8,84,96.7,159,258,276,276,75,85,73,44
235,13.17,1690,1411,1468,1467,135.8,91.3,80.4,98.6,159,281,295,285,101,78,78,55
236,43.923,2114,1450,1488,1486,198.1,111.2,80.7,104.6,161,316,291,288,103,83,65,57
237,135.64,2495,1840,1726,1602,0,377.6,179.1,172.6,144,295,291,297,105,87,70,47
238,0.72799,961,1198,1209,1179,55.4,61.9,41.8,60.3,168,263,259,261,98,95,74,50
239,0.92254,998,1233,1256,1246,56.8,54.2,47.5,68.3,163,266,263,244,114,84,77,55
240,1.7112,1085,1298,1327,1332,62.2,58,60.7,74.1,163,251,261,257,108,91,84,52
241,5.7221,1467,1413,1465,1478,100.4,85.4,78.3,85.1,165,268,268,254,90,96,81,52
242,20.954,1706,1421,1489,1499,140.3,97.9,76.8,91.9,155,281,282,279,90,86,78,65
243,95.072,2132,1467,1516,1506,209.4,129.9,85,105,162,290,277,294,111,92,70,47
244,558.22,2511,1949,1841,1618,0,409.5,215,185.8,154,270,282,296,111,105,95,54
245,0.57728,978,1225,1209,1181,55.4,62.3,45.2,63.4,168,263,259,261,91,83,69,58
246,0.74199,1025,1271,1262,1241,58,63.4,53.4,69.7,163,266,263,244,93,89,90,68
247,1.4773,1111,1333,1336,1315,65.4,63.1,64,71.1,163,251,261,257,80,94,79,58
248,5.0791,1482,1465,1471,1447,105.3,82.8,70.9,75.7,165,268,268,254,81,94,67,57
249,23.81,1750,1514,1497,1485,153.2,117.9,79.7,90.7,155,281,282,279,73,89,70,58
250,131.13,2182,1599,1552,1526,264,195.6,110.7,120.9,162,290,277,294,100,100,75,44
251,869.08,2593,2086,1998,1751,0,0,296.5,221.3,154,270,282,296,118,96,105,60
252,0.31899,1002,1224,1209,1179,53.7,60.8,45.5,56,156,270,294,285,86,80,80,56
253,0.50971,1055,1278,1257,1248,59.5,63,50.7,61.1,163,279,293,281,98,103,80,63
254,1.1194,1141,1348,1337,1331,69.8,63.5,58.2,66.4,167,267,288,294,87,108,69,60
255,3.4817,1492,1496,1493,1442,115.2,92.9,70.4,81.9,172,276,295,288,91,89,75,53
256,19.048,1758,1574,1525,1474,170.6,138.6,87.9,101.2,159,291,312,314,83,96,88,58
257,92.061,2186,1677,1579,1526,307.4,229.4,135,136.8,155,283,303,318,90,98,75,57
258,248.95,2606,2179,2077,1917,0,0,409.5,224.2,149,260,305,326,138,85,82,57
259,0.23266,1083,1261,1258,1260,61.3,61.4,47.9,54.2,163,279,293,281,91,105,79,63
260,0.5756,1173,1339,1335,1342,75,60.9,51.5,60.7,167,267,288,294,89,97,79,61
261,2.2043,1527,1519,1513,1462,129.1,111.3,72.2,92.2,172,276,295,288,82,96,86,55
262,11.351,1762,1631,1563,1487,200,178.7,99.7,116.2,159,291,312,314,99,96,91,57
263,42.206,2197,1740,1622,1546,371.9,287.6,165.1,148.8,155,283,303,318,100,98,65,52
264,50.978,2594,2273,2139,2002,0,0,0,202.4,149,260,305,326,151,105,92,54
265,0.27137,1201,1283,1321,1343,81.6,67.3,50.9,65.8,163,283,294,296,67,89,83,55
266,1.2942,1630,1533,1499,1483,160,165.3,80.9,108.3,170,298,295,311,64,91,75,57
267,5.5851,2105,1684,1600,1555,286.3,330.7,127.3,139.1,164,301,323,322,93,82,75,58
268,15.362,2321,2034,1802,1632,0,0,218.6,154.3,154,295,311,315,99,90,72,49
269,12.807,2601,2465,2250,2106,0,0,0,143.7,134,267,312,334,169,107,95,59
270,0.63542,1677,1551,1486,1486,179.2,202,90.2,107.9,170,298,295,311,82,98,67,57
271,2.2549,2142,1718,1616,1587,336.4,388.5,143,135.8,164,301,323,322,89,98,73,70
272,5.7004,2406,2065,1899,1820,0,0,250.8,147.3,154,295,311,315,87,98,85,55
