Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
132,188.46,15,3,-44,-7.8,-4.6,4.6,208,367,380,393,-51,-73,-10
133,520.48,-216,-225,-488,-32.6,-30.1,-24,208,381,402,400,-41,-75,-26
134,1.8623,168,137,188,10.2,20.5,28.7,196,580,628,617,-7,-23,-29
135,5.1154,164,158,258,8.8,18.9,24.1,199,542,572,575,17,3,-26
136,11.938,116,141,231,2.9,4.6,7.5,220,344,383,400,-41,-41,-17
137,33.867,57,72,85,-0.6,-1.8,9.4,212,368,365,396,-20,-22,-28
138,394,-16,-21,-74,-5.3,-5.5,11.7,208,367,380,393,-42,-82,8
139,1476.2,-220,-212,-426,-27.9,-26.3,-19.3,208,381,402,400,-25,-62,-14
140,2.5719,190,162,152,12.7,21.5,24.1,206,594,667,651,-3,2,-50
141,7.9393,204,197,254,16.4,25.5,23.5,205,540,593,595,8,9,-35
142,17.844,98,127,168,5.5,8.2,11.6,202,371,408,421,-34,-30,-20
143,173.53,14,35,17,-1.8,-2.3,10.1,191,391,392,407,-10,-22,-31
144,795.78,-49,-51,-101,-7.8,-8.4,11.9,190,383,394,411,-26,-45,-18
145,4958.6,-217,-202,-325,-24.1,-21.4,-15,196,382,412,410,-32,-47,-20
146,3.8312,198,153,82,13.6,23.7,8.8,206,594,667,651,-28,-40,-24
147,19.764,269,254,257,10.4,27.4,6.8,205,540,593,595,-7,-25,-16
148,28.724,137,148,172,7.8,20.8,20.2,202,371,408,421,-17,-62,-8
149,61.184,20,31,35,3.3,9.4,18.2,191,391,392,407,0,-23,-15
150,2241.8,-53,-43,-54,-6,-3,7.1,190,383,394,411,-17,-36,-21
151,12377,-208,-189,-124,-33.7,-25.9,-22.1,196,382,412,410,-15,-50,-3
152,6.7983,190,132,47,14.9,29.4,4.7,212,534,634,644,-40,-70,-30
153,26.22,264,232,203,10,29.2,2.9,210,458,543,546,5,-18,-30
154,40.234,155,164,168,4,17,16.1,194,394,430,433,-12,-43,-20
155,93.534,41,60,59,4.2,9.9,16.8,193,404,434,421,-21,-52,11
156,4736.4,-28,-1,4,-1.2,0.7,5.7,197,399,425,434,-22,-58,-3
157,19298,-200,-171,-68,-37.5,-31.5,-30.4,194,398,443,429,-5,-57,-1
158,5.3434,181,123,45,12.4,28.5,2.2,212,534,634,644,-33,-65,-41
159,16.595,232,199,137,14.1,29.7,5.8,210,458,543,546,8,-8,-26
